City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,hoa binh,VN,2021-05-30 16:39:35,20.8133,105.3383,85.89,70,100,2.39,overcast clouds
1,pevek,RU,2021-05-30 16:39:35,69.7008,170.3133,37.89,70,0,5.64,clear sky
2,lebu,CL,2021-05-30 16:39:35,-37.6167,-73.65,56.82,70,100,6.06,overcast clouds
3,tasiilaq,GL,2021-05-30 16:39:36,65.6145,-37.6368,39.36,80,99,17.54,overcast clouds
4,rikitea,PF,2021-05-30 16:39:36,-23.1203,-134.9692,74.68,79,100,16.31,light rain
5,new norfolk,AU,2021-05-30 16:39:36,-42.7826,147.0587,40.5,85,44,3.24,scattered clouds
6,severo-kurilsk,RU,2021-05-30 16:39:36,50.6789,156.125,38.61,97,100,15.23,light rain
7,qaanaaq,GL,2021-05-30 16:34:40,77.484,-69.3632,32.4,91,100,5.39,overcast clouds
8,busselton,AU,2021-05-30 16:34:39,-33.65,115.3333,54.09,71,100,14.76,overcast clouds
9,pankrushikha,RU,2021-05-30 16:39:37,53.8319,80.3406,60.82,59,15,6.24,few clouds
10,nuevitas,CU,2021-05-30 16:39:37,21.5453,-77.2644,85.44,55,19,4.29,few clouds
11,havoysund,NO,2021-05-30 16:39:37,70.9963,24.6622,43.03,95,100,28.1,overcast clouds
12,kieta,PG,2021-05-30 16:39:38,-6.2167,155.6333,78.03,85,77,4.27,broken clouds
13,bandarbeyla,SO,2021-05-30 16:39:38,9.4942,50.8122,79.54,85,22,29.86,few clouds
14,guerrero negro,MX,2021-05-30 16:39:38,27.9769,-114.0611,64.92,63,26,15.75,scattered clouds
15,longyan,CN,2021-05-30 16:39:38,25.1072,117.0225,72.64,98,99,1.83,overcast clouds
16,bluff,NZ,2021-05-30 16:39:04,-46.6,168.3333,49.8,94,100,22.32,light rain
17,port alfred,ZA,2021-05-30 16:39:39,-33.5906,26.891,58.53,62,32,6.78,scattered clouds
18,chipinge,ZW,2021-05-30 16:39:39,-20.1883,32.6236,61.0,31,0,4.97,clear sky
19,albany,US,2021-05-30 16:35:40,42.6001,-73.9662,49.86,90,100,5.44,moderate rain
20,katsuura,JP,2021-05-30 16:39:39,35.1333,140.3,66.31,88,37,13.67,scattered clouds
21,castro,BR,2021-05-30 16:39:40,-24.7911,-50.0119,57.18,98,100,3.65,overcast clouds
22,saint-philippe,RE,2021-05-30 16:39:40,-21.3585,55.7679,71.19,84,37,8.43,scattered clouds
23,qaqortoq,GL,2021-05-30 16:36:32,60.7167,-46.0333,46.9,72,62,5.08,broken clouds
24,dikson,RU,2021-05-30 16:34:49,73.5069,80.5464,31.73,93,100,11.92,overcast clouds
25,arraial do cabo,BR,2021-05-30 16:39:40,-22.9661,-42.0278,78.76,78,75,11.5,broken clouds
26,tuatapere,NZ,2021-05-30 16:39:41,-46.1333,167.6833,49.82,96,100,8.32,overcast clouds
27,margate,GB,2021-05-30 16:39:41,51.3813,1.3862,62.19,64,5,5.01,clear sky
28,karratha,AU,2021-05-30 16:39:41,-20.7377,116.8463,69.46,54,70,8.63,broken clouds
29,guasdualito,VE,2021-05-30 16:39:41,7.2424,-70.7324,86.0,70,59,5.75,broken clouds
30,puerto carreno,CO,2021-05-30 16:39:42,6.189,-67.4859,81.01,80,66,6.98,broken clouds
31,thompson,CA,2021-05-30 16:39:42,55.7435,-97.8558,41.16,75,90,6.91,overcast clouds
32,talen,IN,2021-05-30 16:39:42,23.5667,76.7167,95.02,27,91,5.7,overcast clouds
33,barrow,US,2021-05-30 16:39:43,71.2906,-156.7887,30.22,93,90,10.36,overcast clouds
34,puerto ayora,EC,2021-05-30 16:36:36,-0.7393,-90.3518,80.56,81,69,7.0,broken clouds
35,boyolangu,ID,2021-05-30 16:39:43,-8.1181,111.8935,75.4,93,91,3.8,overcast clouds
36,punta arenas,CL,2021-05-30 16:39:01,-53.15,-70.9167,37.51,56,40,9.71,scattered clouds
37,kutum,SD,2021-05-30 16:39:43,14.2,24.6667,92.08,13,34,11.92,scattered clouds
38,cape town,ZA,2021-05-30 16:39:42,-33.9258,18.4232,61.21,68,0,4.5,clear sky
39,ode,NG,2021-05-30 16:39:44,7.7899,5.7117,79.63,76,76,5.12,moderate rain
40,hereford,GB,2021-05-30 16:36:37,52.0568,-2.7148,68.25,54,70,1.01,broken clouds
41,ribeira grande,PT,2021-05-30 16:39:44,38.5167,-28.7,70.2,64,20,4.61,few clouds
42,hobart,AU,2021-05-30 16:38:42,-42.8794,147.3294,40.86,90,31,1.01,scattered clouds
43,laguna,US,2021-05-30 16:39:44,38.421,-121.4238,78.6,70,1,4.09,clear sky
44,bathsheba,BB,2021-05-30 16:39:45,13.2167,-59.5167,88.41,55,75,20.71,broken clouds
45,butaritari,KI,2021-05-30 16:39:45,3.0707,172.7902,82.76,78,92,15.39,light rain
46,bredasdorp,ZA,2021-05-30 16:39:45,-34.5322,20.0403,56.52,82,88,2.28,overcast clouds
47,storsteinnes,NO,2021-05-30 16:39:45,69.2408,19.2344,47.05,93,100,3.09,overcast clouds
48,luanda,AO,2021-05-30 16:38:22,-8.8368,13.2343,78.8,78,0,10.36,clear sky
49,geraldton,AU,2021-05-30 16:39:46,-28.7667,114.6,57.61,88,90,15.68,overcast clouds
50,kapaa,US,2021-05-30 16:39:46,22.0752,-159.319,69.78,88,1,3.4,clear sky
51,ushuaia,AR,2021-05-30 16:39:46,-54.8,-68.3,31.62,100,90,9.22,snow
52,meulaboh,ID,2021-05-30 16:38:29,4.1363,96.1285,76.37,87,100,2.3,overcast clouds
53,nikolskoye,RU,2021-05-30 16:34:51,59.7035,30.7861,54.39,50,7,4.45,clear sky
54,longyearbyen,SJ,2021-05-30 16:39:47,78.2186,15.6401,33.64,80,75,2.3,broken clouds
55,blythe,US,2021-05-30 16:39:47,33.6103,-114.5964,93.04,23,1,5.1,clear sky
56,biak,ID,2021-05-30 16:39:47,-0.9131,122.8766,76.08,87,67,4.12,broken clouds
57,lasa,IT,2021-05-30 16:39:47,46.6166,10.7002,71.51,67,35,6.02,scattered clouds
58,chapais,CA,2021-05-30 16:39:48,49.7834,-74.8492,60.58,26,0,7.9,clear sky
59,port elizabeth,ZA,2021-05-30 16:39:48,-33.918,25.5701,59.09,71,0,4.61,clear sky
60,coolum beach,AU,2021-05-30 16:39:48,-26.5333,153.1,58.1,77,99,10.76,overcast clouds
61,mahebourg,MU,2021-05-30 16:39:49,-20.4081,57.7,75.49,83,20,6.91,few clouds
62,ballina,AU,2021-05-30 16:39:49,-28.8667,153.5667,57.16,77,75,11.5,broken clouds
63,mataura,NZ,2021-05-30 16:39:49,-46.1927,168.8643,49.48,97,100,3.53,overcast clouds
64,hilo,US,2021-05-30 16:39:49,19.7297,-155.09,81.28,85,75,0.0,broken clouds
65,tuktoyaktuk,CA,2021-05-30 16:39:50,69.4541,-133.0374,33.8,69,20,10.36,few clouds
66,hermanus,ZA,2021-05-30 16:39:50,-34.4187,19.2345,58.89,80,79,3.24,broken clouds
67,shimoda,JP,2021-05-30 16:39:50,34.6667,138.95,68.11,78,69,10.76,broken clouds
68,vaini,TO,2021-05-30 16:39:50,-21.2,-175.2,75.36,100,90,5.75,moderate rain
69,lata,PT,2021-05-30 16:39:51,40.1629,-8.3327,85.05,46,56,6.53,broken clouds
70,saint-pierre,RE,2021-05-30 16:39:51,-21.3393,55.4781,71.28,71,0,4.61,clear sky
71,alexander city,US,2021-05-30 16:39:51,32.944,-85.9539,72.32,63,1,4.61,clear sky
72,san cristobal,VE,2021-05-30 16:39:51,7.7669,-72.225,77.18,48,48,7.02,scattered clouds
73,klaksvik,FO,2021-05-30 16:39:52,62.2266,-6.589,58.12,95,83,20.62,broken clouds
74,le marin,MQ,2021-05-30 16:39:52,14.4721,-60.8697,87.78,62,40,17.96,scattered clouds
75,nanortalik,GL,2021-05-30 16:39:52,60.1432,-45.2371,37.18,88,87,16.62,overcast clouds
76,hasaki,JP,2021-05-30 16:39:12,35.7333,140.8333,63.0,77,34,12.88,scattered clouds
77,udachnyy,RU,2021-05-30 16:39:53,66.4167,112.4,51.67,43,17,5.41,few clouds
78,grindavik,IS,2021-05-30 16:39:53,63.8424,-22.4338,46.35,93,75,19.06,broken clouds
79,lerum,SE,2021-05-30 16:39:53,57.7745,12.2697,77.22,40,0,6.49,clear sky
80,ust-tsilma,RU,2021-05-30 16:39:53,65.441,52.1498,40.42,66,100,7.7,overcast clouds
81,fomboni,KM,2021-05-30 16:39:54,-12.28,43.7425,80.62,73,5,12.21,clear sky
82,baft,IR,2021-05-30 16:39:54,29.234,56.6057,78.64,10,73,5.44,broken clouds
83,saint george,US,2021-05-30 16:39:54,37.1041,-113.5841,88.27,13,1,1.01,clear sky
84,mao,ES,2021-05-30 16:39:55,39.8885,4.2658,77.56,41,0,5.75,clear sky
85,jamestown,US,2021-05-30 16:37:06,42.097,-79.2353,62.19,52,40,8.01,scattered clouds
86,talnakh,RU,2021-05-30 16:39:55,69.4865,88.3972,37.29,82,100,25.7,light rain
87,cockburn town,TC,2021-05-30 16:39:55,21.4612,-71.1419,80.56,83,75,9.22,broken clouds
88,ponta delgada,PT,2021-05-30 16:35:34,37.7333,-25.6667,68.72,60,20,16.11,few clouds
89,chokwe,MZ,2021-05-30 16:39:55,-24.5333,32.9833,68.0,70,10,13.73,clear sky
90,luderitz,NA,2021-05-30 16:39:56,-26.6481,15.1594,62.24,64,86,17.02,overcast clouds
91,rangpur,BD,2021-05-30 16:39:56,25.75,89.25,81.84,80,53,6.42,broken clouds
92,terrace bay,CA,2021-05-30 16:39:56,48.7834,-87.1,55.9,70,75,8.01,broken clouds
93,flinders,AU,2021-05-30 16:39:57,-34.5833,150.8552,48.18,81,23,1.01,few clouds
94,san patricio,US,2021-05-30 16:39:57,28.017,-97.5169,85.86,57,12,14.18,few clouds
95,fairbanks,US,2021-05-30 16:39:57,64.8378,-147.7164,54.23,61,75,4.61,broken clouds
96,praia da vitoria,PT,2021-05-30 16:39:57,38.7333,-27.0667,68.25,73,40,11.21,scattered clouds
97,bambous virieux,MU,2021-05-30 16:39:58,-20.3428,57.7575,75.45,83,20,6.89,few clouds
98,oktyabrskoye,RU,2021-05-30 16:39:58,43.0645,44.7417,62.74,77,75,1.48,broken clouds
99,ponta do sol,PT,2021-05-30 16:39:58,32.6667,-17.1,70.72,75,37,4.79,scattered clouds
100,olafsvik,IS,2021-05-30 16:39:59,64.8945,-23.7142,41.04,94,100,13.69,heavy intensity rain
101,kudahuvadhoo,MV,2021-05-30 16:39:59,2.6708,72.8944,83.7,75,45,19.8,scattered clouds
102,kirakira,SB,2021-05-30 16:39:59,-10.4544,161.9205,77.31,89,96,7.74,overcast clouds
103,mareeba,AU,2021-05-30 16:39:59,-17.0,145.4333,65.44,92,72,3.71,broken clouds
104,mamakan,RU,2021-05-30 16:40:00,57.8161,114.0028,37.99,100,100,2.46,moderate rain
105,upernavik,GL,2021-05-30 16:40:00,72.7868,-56.1549,31.73,94,100,7.18,overcast clouds
106,souillac,MU,2021-05-30 16:40:00,-20.5167,57.5167,75.58,83,20,7.43,few clouds
107,carnarvon,AU,2021-05-30 16:40:01,-24.8667,113.6333,60.87,88,0,9.22,clear sky
108,narsaq,GL,2021-05-30 16:40:01,60.9167,-46.05,46.62,67,62,3.98,broken clouds
109,mocuba,MZ,2021-05-30 16:40:01,-16.8392,36.9856,68.41,59,0,4.16,clear sky
110,mar del plata,AR,2021-05-30 16:36:00,-38.0023,-57.5575,57.09,44,0,8.01,clear sky
111,general roca,AR,2021-05-30 16:40:02,-39.0333,-67.5833,54.0,38,14,15.64,few clouds
112,kodiak,US,2021-05-30 16:40:02,57.79,-152.4072,45.91,87,90,6.91,overcast clouds
113,fortuna,US,2021-05-30 16:40:02,40.5982,-124.1573,57.65,87,98,8.21,overcast clouds
114,nuuk,GL,2021-05-30 16:40:03,64.1835,-51.7216,36.21,80,90,9.22,overcast clouds
115,lithakia,GR,2021-05-30 16:40:03,37.7167,20.8333,76.28,41,20,8.05,few clouds
116,hithadhoo,MV,2021-05-30 16:35:21,-0.6,73.0833,83.21,73,52,16.64,broken clouds
117,gizo,SB,2021-05-30 16:40:03,-8.103,156.8419,80.94,79,86,5.73,light rain
118,coquimbo,CL,2021-05-30 16:37:11,-29.9533,-71.3436,56.93,88,40,4.23,scattered clouds
119,chuy,UY,2021-05-30 16:40:04,-33.6971,-53.4616,55.63,45,4,12.57,clear sky
120,hofn,IS,2021-05-30 16:40:04,64.2539,-15.2082,48.22,100,90,14.97,light rain
121,batemans bay,AU,2021-05-30 16:40:04,-35.7167,150.1833,42.91,86,0,4.21,clear sky
122,atar,MR,2021-05-30 16:39:39,20.5169,-13.0499,109.17,10,21,3.69,few clouds
123,betioky,MG,2021-05-30 16:40:04,-23.7167,44.3833,63.25,85,0,4.43,clear sky
124,khatanga,RU,2021-05-30 16:40:05,71.9667,102.5,35.46,99,100,5.95,overcast clouds
125,maglajani,BA,2021-05-30 16:40:05,44.9486,17.3494,63.0,55,40,4.61,light rain
126,conde,BR,2021-05-30 16:40:05,-7.2597,-34.9075,81.86,78,75,13.11,broken clouds
127,cleland,GB,2021-05-30 16:40:06,55.8024,-3.9142,69.91,60,70,1.99,broken clouds
128,lavrentiya,RU,2021-05-30 16:40:06,65.5833,-171.0,32.56,81,7,11.01,clear sky
129,asau,RO,2021-05-30 16:40:06,46.4333,26.4,59.92,83,55,3.42,broken clouds
130,basco,PH,2021-05-30 16:40:06,20.4487,121.9702,84.69,82,100,15.21,overcast clouds
131,avarua,CK,2021-05-30 16:38:01,-21.2078,-159.775,68.05,77,20,3.44,few clouds
132,nirgua,VE,2021-05-30 16:40:07,10.1553,-68.5663,82.0,54,73,0.25,broken clouds
133,kaitangata,NZ,2021-05-30 16:39:02,-46.2817,169.8464,49.39,94,100,8.99,moderate rain
134,abancay,PE,2021-05-30 16:40:07,-13.6339,-72.8814,68.14,45,80,3.96,broken clouds
135,shush,IR,2021-05-30 16:40:07,32.1942,48.2436,102.99,7,0,19.24,clear sky
136,kismayo,SO,2021-05-30 16:40:08,-0.3582,42.5454,78.55,82,89,14.61,overcast clouds
137,vallenar,CL,2021-05-30 16:40:08,-28.5708,-70.7581,81.09,23,0,6.06,clear sky
138,turkistan,KZ,2021-05-30 16:40:08,43.0,68.0,78.6,39,1,14.38,clear sky
139,leshan,CN,2021-05-30 16:40:08,29.5623,103.7639,71.24,85,100,0.92,moderate rain
140,canmore,CA,2021-05-30 16:38:47,51.0834,-115.3521,62.76,43,8,3.8,clear sky
141,jishou,CN,2021-05-30 16:40:09,28.3167,109.7167,64.71,94,22,0.69,light rain
142,ouadda,CF,2021-05-30 16:40:09,8.0777,22.4007,81.99,44,57,2.64,broken clouds
143,husavik,IS,2021-05-30 16:37:43,66.0449,-17.3389,55.31,49,87,17.31,overcast clouds
144,eureka,US,2021-05-30 16:39:59,40.8021,-124.1637,52.93,87,99,7.99,overcast clouds
145,sao joao da barra,BR,2021-05-30 16:39:19,-21.6403,-41.0511,86.09,68,48,7.85,scattered clouds
146,ilulissat,GL,2021-05-30 16:40:10,69.2167,-51.1,51.82,32,69,10.36,broken clouds
147,formiga,BR,2021-05-30 16:40:10,-20.4644,-45.4264,82.27,41,100,5.08,overcast clouds
148,marawi,PH,2021-05-30 16:40:10,7.9986,124.2928,67.64,94,100,2.06,heavy intensity rain
149,ruteng,ID,2021-05-30 16:40:10,-8.6136,120.4721,59.83,89,96,1.7,overcast clouds
150,magdagachi,RU,2021-05-30 16:40:11,53.45,125.8,45.45,98,29,3.27,scattered clouds
151,tazmalt,DZ,2021-05-30 16:40:11,36.3868,4.3989,86.94,32,47,7.49,scattered clouds
152,atuona,PF,2021-05-30 16:39:15,-9.8,-139.0333,80.33,60,87,8.05,overcast clouds
153,maniitsoq,GL,2021-05-30 16:40:11,65.4167,-52.9,35.51,88,100,5.44,overcast clouds
154,pisco,PE,2021-05-30 16:40:12,-13.7,-76.2167,65.01,94,90,6.91,overcast clouds
155,carauari,BR,2021-05-30 16:40:12,-4.8828,-66.8958,92.37,48,59,4.05,broken clouds
156,opportunity,US,2021-05-30 16:40:12,47.6499,-117.2399,68.9,44,1,0.0,clear sky
157,machilipatnam,IN,2021-05-30 16:40:12,16.1667,81.1333,91.6,68,46,8.99,scattered clouds
158,alyangula,AU,2021-05-30 16:35:43,-13.8483,136.4192,69.67,94,87,8.39,overcast clouds
159,yenagoa,NG,2021-05-30 16:40:13,4.9247,6.2642,81.97,84,99,5.64,light rain
160,ekhabi,RU,2021-05-30 16:40:13,53.5102,142.9671,31.62,94,65,4.72,broken clouds
161,urumqi,CN,2021-05-30 16:40:13,43.801,87.6005,74.35,22,0,3.09,clear sky
162,wanning,CN,2021-05-30 16:40:14,18.8003,110.3967,82.27,87,66,10.65,broken clouds
163,torbay,CA,2021-05-30 16:35:29,47.6666,-52.7314,60.89,52,20,12.66,few clouds
164,northam,GB,2021-05-30 16:40:14,51.0333,-4.2167,66.15,72,85,8.34,overcast clouds
165,wanaka,NZ,2021-05-30 16:40:14,-44.7,169.15,46.47,97,100,6.31,moderate rain
166,zyryanka,RU,2021-05-30 16:40:15,65.75,150.85,51.71,50,100,10.45,overcast clouds
167,darovskoy,RU,2021-05-30 16:40:15,58.77,47.9564,45.46,53,57,8.88,broken clouds
168,miles city,US,2021-05-30 16:39:03,46.4083,-105.8406,64.51,48,1,5.75,clear sky
169,sampit,ID,2021-05-30 16:40:15,-2.5333,112.95,76.64,90,100,3.02,overcast clouds
170,victoria,HK,2021-05-30 16:37:16,22.2855,114.1577,87.33,88,98,1.01,overcast clouds
171,katangli,RU,2021-05-30 16:40:15,51.7102,143.2326,35.37,90,100,8.28,overcast clouds
172,slobodskoy,RU,2021-05-30 16:39:22,58.7322,50.1772,44.28,67,86,5.23,light rain
173,tahoua,NE,2021-05-30 16:40:16,14.8888,5.2692,107.58,14,40,6.91,scattered clouds
174,marsh harbour,BS,2021-05-30 16:35:29,26.5412,-77.0636,79.72,73,4,13.53,clear sky
175,awbari,LY,2021-05-30 16:40:16,26.5921,12.7805,104.65,6,13,7.94,few clouds
176,kodinsk,RU,2021-05-30 16:40:16,58.6881,99.1844,36.16,95,93,0.87,overcast clouds
177,arlit,NE,2021-05-30 16:40:17,18.7369,7.3853,107.62,4,91,16.26,overcast clouds
178,touros,BR,2021-05-30 16:39:26,-5.1989,-35.4608,88.7,67,44,14.0,scattered clouds
179,antofagasta,CL,2021-05-30 16:40:07,-23.65,-70.4,70.21,58,34,8.01,scattered clouds
180,decatur,US,2021-05-30 16:40:17,39.8403,-88.9548,67.75,42,1,3.44,clear sky
181,ocho rios,JM,2021-05-30 16:40:17,18.4025,-77.1048,85.75,67,2,11.5,clear sky
182,ambon,ID,2021-05-30 16:40:18,-3.6954,128.1814,79.99,81,100,7.65,overcast clouds
183,muros,ES,2021-05-30 16:40:18,42.7762,-9.0603,79.3,52,100,13.91,overcast clouds
184,severodvinsk,RU,2021-05-30 16:40:18,64.5635,39.8302,48.31,57,12,0.65,few clouds
185,saldanha,ZA,2021-05-30 16:39:15,-33.0117,17.9442,60.85,83,7,7.67,clear sky
186,yellowknife,CA,2021-05-30 16:40:19,62.456,-114.3525,43.32,70,75,1.99,broken clouds
187,bangkalan,ID,2021-05-30 16:40:19,-7.0455,112.7351,82.35,84,98,2.57,overcast clouds
188,vila velha,BR,2021-05-30 16:40:19,-20.3297,-40.2925,87.75,59,0,5.01,clear sky
189,komsomolskiy,UZ,2021-05-30 16:40:19,40.4272,71.7189,84.92,21,39,16.11,scattered clouds
190,nome,US,2021-05-30 16:40:18,64.5011,-165.4064,46.47,36,1,23.02,clear sky
191,dingle,PH,2021-05-30 16:40:20,10.9995,122.6711,78.53,90,81,1.97,broken clouds
192,ostrovnoy,RU,2021-05-30 16:40:20,68.0531,39.5131,42.35,86,100,13.04,overcast clouds
193,vorontsovka,RU,2021-05-30 16:40:20,50.6132,40.3549,63.07,93,95,10.94,overcast clouds
194,mojo,ET,2021-05-30 16:40:20,8.6,39.1167,72.57,34,15,4.38,few clouds
195,palmer,US,2021-05-30 16:40:21,42.1584,-72.3287,50.02,85,90,1.99,moderate rain
196,airai,TL,2021-05-30 16:39:52,-8.9266,125.4092,58.8,90,99,1.61,overcast clouds
197,vanimo,PG,2021-05-30 16:40:21,-2.6741,141.3028,78.46,89,100,6.26,light rain
198,merauke,ID,2021-05-30 16:37:43,-8.4667,140.3333,75.29,87,72,12.44,broken clouds
199,ghanzi,BW,2021-05-30 16:40:21,-21.5667,21.7833,64.8,26,47,6.73,scattered clouds
200,port lincoln,AU,2021-05-30 16:40:22,-34.7333,135.8667,55.24,45,83,11.48,broken clouds
201,cherskiy,RU,2021-05-30 16:40:06,68.75,161.3,51.93,46,12,6.35,few clouds
202,holme,DK,2021-05-30 16:40:22,56.1138,10.1725,71.46,70,0,4.5,clear sky
203,huarmey,PE,2021-05-30 16:38:36,-10.0681,-78.1522,71.1,75,60,10.78,broken clouds
204,itoman,JP,2021-05-30 16:40:22,26.1247,127.6694,75.97,94,75,10.36,light rain
205,adrar,MR,2021-05-30 16:40:22,20.5022,-10.0711,97.16,22,65,29.71,broken clouds
206,kalmunai,LK,2021-05-30 16:40:23,7.4167,81.8167,83.21,77,37,4.21,scattered clouds
207,saint-georges,GD,2021-05-30 16:36:00,12.0564,-61.7485,85.68,66,75,28.77,broken clouds
208,henties bay,NA,2021-05-30 16:40:23,-22.116,14.2845,56.86,85,58,7.81,broken clouds
209,isangel,VU,2021-05-30 16:40:23,-19.55,169.2667,70.05,76,92,5.75,overcast clouds
210,ginir,ET,2021-05-30 16:40:24,7.1333,40.7,60.57,61,54,4.68,broken clouds
211,mayumba,GA,2021-05-30 16:40:24,-3.432,10.6554,77.77,84,46,7.25,scattered clouds
212,baykalsk,RU,2021-05-30 16:40:24,51.5058,104.1469,39.07,82,100,5.68,overcast clouds
213,pangnirtung,CA,2021-05-30 16:40:24,66.1451,-65.7125,30.2,86,90,12.66,overcast clouds
214,mangaluru,IN,2021-05-30 16:40:25,12.8667,74.8833,79.66,94,75,2.8,broken clouds
215,mount gambier,AU,2021-05-30 16:40:25,-37.8333,140.7667,40.91,87,18,6.91,few clouds
216,ulaangom,MN,2021-05-30 16:35:30,49.9811,92.0667,51.3,37,62,2.93,broken clouds
217,bonfim,BR,2021-05-30 16:40:25,3.0833,-59.95,77.41,86,100,4.36,overcast clouds
218,champasak,LA,2021-05-30 16:40:26,14.75,106.0,80.33,81,100,0.87,overcast clouds
219,maryborough,AU,2021-05-30 16:40:26,-25.5333,152.7,56.1,82,54,5.08,broken clouds
220,talaya,RU,2021-05-30 16:40:26,61.3833,152.75,39.06,79,99,5.28,overcast clouds
221,bengkulu,ID,2021-05-30 16:40:26,-3.8004,102.2655,76.8,87,98,5.53,moderate rain
222,maketu,NZ,2021-05-30 16:40:27,-37.7667,176.45,47.48,100,72,8.93,broken clouds
223,ollioules,FR,2021-05-30 16:40:27,43.1352,5.848,75.92,61,98,1.99,overcast clouds
224,tarabuco,BO,2021-05-30 16:40:27,-19.1667,-64.9167,52.88,61,91,10.54,overcast clouds
225,east london,ZA,2021-05-30 16:39:13,-33.0153,27.9116,54.54,82,0,2.3,clear sky
226,clyde river,CA,2021-05-30 16:40:16,70.4692,-68.5914,30.43,86,75,4.61,broken clouds
227,viamao,BR,2021-05-30 16:39:34,-30.0811,-51.0233,59.29,39,0,4.63,clear sky
228,coihaique,CL,2021-05-30 16:36:53,-45.5752,-72.0662,47.01,93,90,9.22,moderate rain
229,georgetown,MY,2021-05-30 16:40:28,5.4112,100.3354,85.89,83,20,3.0,few clouds
230,najran,SA,2021-05-30 16:40:28,17.4924,44.1277,93.85,12,4,5.82,clear sky
231,butterworth,MY,2021-05-30 16:40:28,5.3991,100.3638,86.0,85,20,3.0,few clouds
